vehicle_id,status,scheduled_depart_s,sampled_headway_s,actual_depart_s,depart_delay_s,actual_entry_headway_s,arrival_s,duration_s,route_length_m,waiting_time_s,time_loss_s,preferred_speed_mps,trajectory_samples,min_gap_m,preferred_tau_s
veh_000042,completed,251.265215,6.171630,252.000000,0.734785,6.000000,1121.000,869.000,16093.440000,0.000,314.701,18.935046,869,3.347555,1.179442
veh_000043,completed,258.493169,7.227954,259.000000,0.506831,7.000000,1123.000,864.000,16093.440000,0.000,310.062,21.724816,864,3.366989,1.863161
veh_000044,completed,265.450790,6.957621,266.000000,0.549210,7.000000,1126.000,860.000,16093.440000,0.000,305.511,24.519119,860,2.205757,2.055457
veh_000045,completed,271.975617,6.524828,272.000000,0.024383,6.000000,1128.000,856.000,16093.440000,0.000,301.830,26.113834,856,4.004264,2.029820
veh_000046,completed,278.950539,6.974922,279.000000,0.049461,7.000000,1130.000,851.000,16093.440000,0.000,296.691,22.490108,851,3.023987,1.473704
veh_000047,completed,285.668278,6.717738,286.000000,0.331722,7.000000,1133.000,847.000,16093.440000,0.000,293.142,21.648805,847,3.433816,1.558059
veh_000048,completed,290.727799,5.059522,291.000000,0.272201,5.000000,1135.000,844.000,16093.440000,0.000,290.070,20.554116,844,3.368327,1.545104
veh_000049,completed,295.651743,4.923943,296.000000,0.348257,5.000000,1137.000,841.000,16093.440000,0.000,287.144,21.188585,841,2.403575,1.968264
veh_000050,completed,300.946790,5.295048,301.000000,0.053210,5.000000,1139.000,838.000,16093.440000,0.000,283.810,23.543356,838,2.612327,1.198271
veh_000051,completed,307.695780,6.748990,308.000000,0.304220,7.000000,1141.000,833.000,16093.440000,0.000,279.130,25.153610,833,3.900133,1.975655
veh_000052,completed,313.320607,5.624827,314.000000,0.679393,6.000000,1143.000,829.000,16093.440000,0.000,274.866,25.131479,829,3.589270,1.404501
veh_000053,completed,322.824238,9.503631,323.000000,0.175762,9.000000,1145.000,822.000,16093.440000,0.000,268.135,21.806829,822,3.071422,2.084174
veh_000054,completed,327.595299,4.771061,328.000000,0.404701,5.000000,1147.000,819.000,16093.440000,0.000,265.090,24.330000,819,3.394891,1.662871
veh_000055,completed,331.946987,4.351688,332.000000,0.053013,4.000000,1150.000,818.000,16093.440000,0.000,263.414,24.058681,818,3.716787,1.714609
veh_000056,completed,339.099697,7.152710,340.000000,0.900303,8.000000,1152.000,812.000,16093.440000,0.000,257.598,23.366084,812,1.832555,1.740180
veh_000057,completed,347.232472,8.132775,348.000000,0.767528,8.000000,1154.000,806.000,16093.440000,0.000,251.399,22.211018,806,2.579938,1.436050
veh_000058,completed,353.991011,6.758539,354.000000,0.008989,6.000000,1156.000,802.000,16093.440000,0.000,247.828,21.717953,802,3.722207,1.482764
veh_000059,completed,361.244737,7.253726,362.000000,0.755263,8.000000,1158.000,796.000,16093.440000,0.000,241.717,25.318812,796,3.941775,1.581166
veh_000060,completed,369.384255,8.139517,370.000000,0.615745,8.000000,1160.000,790.000,16093.440000,0.000,235.462,21.719208,790,2.781726,1.746239
veh_000061,completed,375.243214,5.858959,376.000000,0.756786,6.000000,1162.000,786.000,16093.440000,0.000,231.613,23.360401,786,3.454492,1.682489
veh_000062,completed,379.108775,3.865562,380.000000,0.891225,4.000000,1164.000,784.000,16093.440000,0.000,229.747,22.936863,784,3.036443,1.894204
veh_000063,completed,384.310660,5.201885,385.000000,0.689340,5.000000,1165.000,780.000,16093.440000,0.000,226.130,25.183544,780,2.478090,1.600813
veh_000064,completed,391.740004,7.429344,392.000000,0.259996,7.000000,1167.000,775.000,16093.440000,0.000,221.134,24.056190,775,2.209954,1.350158
veh_000065,completed,395.574487,3.834482,396.000000,0.425513,4.000000,1169.000,773.000,16093.440000,0.000,219.028,24.651422,773,4.262629,1.606519
veh_000066,completed,401.624783,6.050297,402.000000,0.375217,6.000000,1171.000,769.000,16093.440000,0.000,214.935,25.694882,769,3.387765,1.550431
veh_000067,completed,408.004640,6.379856,409.000000,0.995360,7.000000,1173.000,764.000,16093.440000,0.000,210.074,24.495562,764,4.213647,1.968510
veh_000068,completed,413.531251,5.526612,414.000000,0.468749,5.000000,1175.000,761.000,16093.440000,0.000,207.050,24.101410,761,3.835866,1.789741
veh_000069,completed,420.616699,7.085448,421.000000,0.383301,7.000000,1178.000,757.000,16093.440000,0.000,202.688,21.769396,757,3.781189,1.570880
veh_000070,completed,427.487869,6.871170,428.000000,0.512131,7.000000,1180.000,752.000,16093.440000,0.000,198.050,22.569739,752,1.935786,2.174047
veh_000071,completed,436.969982,9.482113,437.000000,0.030018,9.000000,1183.000,746.000,16093.440000,0.000,191.539,22.428520,746,3.657921,1.908741
veh_000072,completed,443.899933,6.929952,444.000000,0.100067,7.000000,1184.000,740.000,16093.440000,0.000,186.121,23.491326,740,2.896643,1.683219
veh_000073,completed,448.985828,5.085895,449.000000,0.014172,5.000000,1201.000,752.000,16093.440000,0.000,197.760,22.183327,752,2.297971,1.701319
veh_000074,completed,454.143132,5.157304,455.000000,0.856868,6.000000,1213.000,758.000,16093.440000,0.000,203.480,21.701867,758,3.142589,2.100980
veh_000075,completed,458.895760,4.752628,459.000000,0.104240,4.000000,1214.000,755.000,16093.440000,0.000,200.939,26.177730,755,2.954152,1.353499
veh_000076,completed,466.324170,7.428410,467.000000,0.675830,8.000000,1313.000,846.000,16093.440000,0.000,291.828,19.710292,846,1.910897,1.518017
veh_000077,completed,471.473921,5.149751,472.000000,0.526079,5.000000,1315.000,843.000,16093.440000,0.000,288.867,20.492928,843,2.167411,2.013111
veh_000078,completed,477.368530,5.894609,478.000000,0.631470,6.000000,1318.000,840.000,16093.440000,0.000,285.484,25.379704,840,3.893757,2.057640
veh_000079,completed,484.492484,7.123954,485.000000,0.507516,7.000000,1319.000,834.000,16093.440000,0.000,280.000,22.414431,834,2.477102,1.434753
veh_000080,completed,489.407289,4.914806,490.000000,0.592711,5.000000,1321.000,831.000,16093.440000,0.000,277.133,21.099208,831,3.646055,1.663386
veh_000081,completed,494.966802,5.559513,495.000000,0.033198,5.000000,1394.000,899.000,16093.440000,0.000,344.905,18.231937,899,2.657748,1.600420
veh_000082,completed,498.204873,3.238071,499.000000,0.795127,4.000000,1396.000,897.000,16093.440000,0.000,342.751,23.728273,897,3.743783,1.467255
veh_000083,completed,502.581155,4.376282,503.000000,0.418845,4.000000,1398.000,895.000,16093.440000,0.000,340.683,20.627732,895,2.706027,1.679402
veh_000084,completed,507.729551,5.148395,508.000000,0.270449,5.000000,1400.000,892.000,16093.440000,0.000,337.629,22.120690,892,2.372885,1.691163
veh_000085,completed,514.353192,6.623641,515.000000,0.646808,7.000000,1401.000,886.000,16093.440000,0.000,332.095,21.392131,886,1.491031,1.485941
veh_000086,completed,522.143432,7.790240,523.000000,0.856568,8.000000,1403.000,880.000,16093.440000,0.000,326.087,23.781879,880,2.890405,1.840346
veh_000087,completed,528.115732,5.972300,529.000000,0.884268,6.000000,1406.000,877.000,16093.440000,0.000,322.976,19.545913,877,3.671921,2.058799
veh_000088,completed,534.507778,6.392046,535.000000,0.492222,6.000000,1408.000,873.000,16093.440000,0.000,318.884,24.267784,873,3.131222,1.720912
veh_000089,completed,540.759732,6.251954,541.000000,0.240268,6.000000,1410.000,869.000,16093.440000,0.000,315.078,20.808515,869,2.419767,1.943638
veh_000090,completed,548.386844,7.627112,549.000000,0.613156,8.000000,1413.000,864.000,16093.440000,0.000,309.484,21.557833,864,2.017043,1.951905
veh_000091,completed,555.726877,7.340033,556.000000,0.273123,7.000000,1458.000,902.000,16093.440000,0.000,347.657,18.126777,902,2.403091,1.795900
veh_000092,completed,562.137417,6.410540,563.000000,0.862583,7.000000,1460.000,897.000,16093.440000,0.000,343.098,19.805538,897,3.931280,1.400061
veh_000093,completed,566.621000,4.483584,567.000000,0.379000,4.000000,1462.000,895.000,16093.440000,0.000,341.093,21.388103,895,3.310926,1.706507
veh_000094,completed,573.976078,7.355078,574.000000,0.023922,7.000000,1464.000,890.000,16093.440000,0.000,335.902,24.176645,890,2.462851,1.751947
veh_000095,completed,580.547649,6.571571,581.000000,0.452351,7.000000,1467.000,886.000,16093.440000,0.000,331.362,22.901024,886,4.409718,2.191510
veh_000096,completed,588.388061,7.840412,589.000000,0.611939,8.000000,1468.000,879.000,16093.440000,0.000,325.128,23.638522,879,2.554235,1.520879
veh_000097,completed,594.343201,5.955140,595.000000,0.656799,6.000000,1470.000,875.000,16093.440000,0.000,320.698,23.986467,875,3.146819,1.220000
veh_000098,completed,603.272853,8.929651,604.000000,0.727147,9.000000,1473.000,869.000,16093.440000,0.000,314.498,19.258792,869,2.650525,1.830530
veh_000099,completed,608.734538,5.461685,609.000000,0.265462,5.000000,1474.000,865.000,16093.440000,0.000,310.949,25.598656,865,3.726465,1.593017
veh_000100,completed,617.124129,8.389591,618.000000,0.875871,9.000000,1477.000,859.000,16093.440000,0.000,304.454,21.626245,859,2.571444,1.896930
veh_000101,completed,623.296807,6.172678,624.000000,0.703193,6.000000,1478.000,854.000,16093.440000,0.000,300.031,23.882800,854,1.503574,1.723819
veh_000102,completed,628.522404,5.225596,629.000000,0.477596,5.000000,1481.000,852.000,16093.440000,0.000,297.854,21.946835,852,3.376254,1.731269
veh_000103,completed,632.829732,4.307328,633.000000,0.170268,4.000000,1484.000,851.000,16093.440000,0.000,296.543,22.946974,851,4.694259,2.431744
veh_000104,completed,638.603186,5.773454,639.000000,0.396814,6.000000,1485.000,846.000,16093.440000,0.000,292.039,23.795692,846,1.948098,1.737613
veh_000105,completed,646.738168,8.134982,647.000000,0.261832,8.000000,1487.000,840.000,16093.440000,0.000,285.765,22.741277,840,2.736994,1.508939
veh_000106,completed,653.962729,7.224562,654.000000,0.037271,7.000000,1490.000,836.000,16093.440000,0.000,281.463,24.796271,836,1.803303,2.173583
veh_000107,completed,660.996055,7.033326,661.000000,0.003945,7.000000,1492.000,831.000,16093.440000,0.000,276.671,22.838624,831,2.884922,1.754723
veh_000108,completed,663.432246,2.436191,664.000000,0.567754,3.000000,1494.000,830.000,16093.440000,0.000,275.798,22.548999,830,4.390195,1.935985
veh_000109,completed,670.498693,7.066446,671.000000,0.501307,7.000000,1497.000,826.000,16093.440000,0.000,271.697,19.397791,826,1.967392,1.524623
veh_000110,completed,677.332471,6.833779,678.000000,0.667529,7.000000,1499.000,821.000,16093.440000,0.000,266.576,21.477345,821,1.818883,1.801216
veh_000111,completed,682.507582,5.175111,683.000000,0.492418,5.000000,1501.000,818.000,16093.440000,0.000,263.946,22.014587,818,2.589520,2.034683
veh_000112,completed,687.566505,5.058923,688.000000,0.433495,5.000000,1504.000,816.000,16093.440000,0.000,261.772,25.878955,816,2.657597,2.009367
veh_000113,completed,693.563040,5.996534,694.000000,0.436960,6.000000,1614.000,920.000,16093.440000,0.000,365.772,18.142363,920,4.453415,1.605194
veh_000114,completed,702.150354,8.587314,703.000000,0.849646,9.000000,1616.000,913.000,16093.440000,0.000,358.816,20.814514,913,2.788298,1.775296
veh_000115,completed,706.567703,4.417349,707.000000,0.432297,4.000000,1618.000,911.000,16093.440000,0.000,356.828,21.520061,911,4.221267,1.556027
veh_000116,completed,711.925995,5.358292,712.000000,0.074005,5.000000,1620.000,908.000,16093.440000,0.000,353.629,24.954015,908,1.750372,1.209298
veh_000117,completed,719.968672,8.042677,720.000000,0.031328,8.000000,1622.000,902.000,16093.440000,0.000,347.533,25.120894,902,3.032515,1.390170
veh_000118,completed,725.299446,5.330774,726.000000,0.700554,6.000000,1624.000,898.000,16093.440000,0.000,343.858,22.491663,898,2.452390,2.157133
veh_000119,completed,730.753069,5.453623,731.000000,0.246931,5.000000,1626.000,895.000,16093.440000,0.000,341.020,22.556428,895,2.590451,1.887328
veh_000120,completed,736.899734,6.146665,737.000000,0.100266,6.000000,1629.000,892.000,16093.440000,0.000,337.728,21.990626,892,3.187053,1.921351
veh_000121,completed,741.037800,4.138066,742.000000,0.962200,5.000000,1631.000,889.000,16093.440000,0.000,334.548,21.257389,889,2.706704,1.533736
veh_000122,completed,747.367718,6.329918,748.000000,0.632282,6.000000,1633.000,885.000,16093.440000,0.000,330.740,21.276278,885,4.665769,1.749769
veh_000123,completed,751.553291,4.185574,752.000000,0.446709,4.000000,1637.000,885.000,16093.440000,0.000,331.110,21.310267,885,2.925267,1.935627
veh_000124,completed,758.881089,7.327797,759.000000,0.118911,7.000000,1639.000,880.000,16093.440000,0.000,325.792,22.008706,880,3.721812,1.292616
veh_000125,completed,764.885860,6.004771,765.000000,0.114140,6.000000,1641.000,876.000,16093.440000,0.000,322.031,22.526652,876,2.136769,2.173521
veh_000126,completed,774.311007,9.425147,775.000000,0.688993,10.000000,1643.000,868.000,16093.440000,0.000,313.964,20.931731,868,3.755285,1.676992
veh_000127,completed,780.732268,6.421261,781.000000,0.267732,6.000000,1646.000,865.000,16093.440000,0.000,310.699,23.752141,865,2.026719,1.946039
veh_000128,completed,788.780802,8.048534,789.000000,0.219198,8.000000,1648.000,859.000,16093.440000,0.000,304.769,22.268203,859,3.658182,1.413527
veh_000129,completed,792.825906,4.045104,793.000000,0.174094,4.000000,1650.000,857.000,16093.440000,0.000,302.898,23.547400,857,3.416469,1.787270
veh_000130,completed,798.642697,5.816791,799.000000,0.357303,6.000000,1662.000,863.000,16093.440000,0.000,308.662,19.299482,863,3.314507,1.885311
veh_000131,completed,805.127416,6.484718,806.000000,0.872584,7.000000,1664.000,858.000,16093.440000,0.000,303.642,20.781019,858,3.586374,1.707640
veh_000132,completed,813.745997,8.618581,814.000000,0.254003,8.000000,1666.000,852.000,16093.440000,0.000,297.735,22.560076,852,3.383607,1.876360
veh_000133,completed,817.224623,3.478626,818.000000,0.775377,4.000000,1668.000,850.000,16093.440000,0.000,295.976,22.988205,850,3.916111,1.851248
veh_000134,completed,824.710553,7.485930,825.000000,0.289447,7.000000,1670.000,845.000,16093.440000,0.000,290.880,21.955851,845,2.595463,1.615738
veh_000135,completed,831.597584,6.887031,832.000000,0.402416,7.000000,1672.000,840.000,16093.440000,0.000,286.019,25.794630,840,3.207476,1.810137
veh_000136,completed,839.897903,8.300319,840.000000,0.102097,8.000000,1674.000,834.000,16093.440000,0.000,280.069,21.881496,834,2.986866,1.787165
veh_000137,completed,846.966481,7.068578,847.000000,0.033519,7.000000,1677.000,830.000,16093.440000,0.000,275.747,25.545432,830,3.058549,2.126396
veh_000138,completed,853.044588,6.078107,854.000000,0.955412,7.000000,1679.000,825.000,16093.440000,0.000,270.963,25.470998,825,1.525798,2.167872
veh_000139,completed,858.262114,5.217526,859.000000,0.737886,5.000000,1681.000,822.000,16093.440000,0.000,267.829,23.905720,822,3.806688,1.654468
veh_000140,completed,862.389844,4.127730,863.000000,0.610156,4.000000,1683.000,820.000,16093.440000,0.000,265.684,23.347708,820,2.468889,1.614543
veh_000141,completed,868.682978,6.293134,869.000000,0.317022,6.000000,1685.000,816.000,16093.440000,0.000,261.371,23.590333,816,2.840391,1.719889
veh_000142,completed,874.395433,5.712455,875.000000,0.604567,6.000000,1688.000,813.000,16093.440000,0.000,258.430,22.027772,813,3.532244,2.318069
veh_000143,completed,883.425834,9.030401,884.000000,0.574166,9.000000,1692.000,808.000,16093.440000,0.000,253.961,19.835174,808,2.154383,1.890383
veh_000144,completed,888.509297,5.083463,889.000000,0.490703,5.000000,1700.000,811.000,16093.440000,0.000,256.484,21.185680,811,3.540812,1.421266
veh_000145,completed,894.989885,6.480588,895.000000,0.010115,6.000000,1703.000,808.000,16093.440000,0.000,254.021,20.935397,808,3.400352,2.095173
veh_000146,completed,898.636382,3.646498,899.000000,0.363618,4.000000,1705.000,806.000,16093.440000,0.000,251.875,21.428294,806,3.426307,1.579954
veh_000147,completed,904.043189,5.406806,905.000000,0.956811,6.000000,1708.000,803.000,16093.440000,0.000,248.661,20.709785,803,3.470699,1.741564
veh_000148,completed,910.434910,6.391722,911.000000,0.565090,6.000000,1729.000,818.000,16093.440000,0.000,263.826,19.947295,818,2.614163,1.919086
veh_000149,completed,917.670850,7.235940,918.000000,0.329150,7.000000,1732.000,814.000,16093.440000,0.000,259.509,22.641344,814,2.892944,2.007020
veh_000150,completed,925.843003,8.172153,926.000000,0.156997,8.000000,1733.000,807.000,16093.440000,0.000,252.977,25.532279,807,2.282728,1.391659
veh_000151,completed,931.776781,5.933778,932.000000,0.223219,6.000000,1743.000,811.000,16093.440000,0.000,256.791,20.395675,811,3.292613,1.684907
veh_000152,completed,936.100913,4.324133,937.000000,0.899087,5.000000,1827.000,890.000,16093.440000,0.000,335.563,18.232177,890,4.143097,1.787636
veh_000153,completed,942.787689,6.686776,943.000000,0.212311,6.000000,1833.000,890.000,16093.440000,0.000,335.546,21.055890,890,2.858896,2.245032
veh_000154,completed,949.563170,6.775481,950.000000,0.436830,7.000000,1836.000,886.000,16093.440000,0.000,331.463,19.590091,886,2.469290,1.617477
veh_000155,completed,956.300657,6.737488,957.000000,0.699343,7.000000,1839.000,882.000,16093.440000,0.000,327.666,20.065464,882,2.952395,1.925534
veh_000156,completed,961.250226,4.949568,962.000000,0.749774,5.000000,1859.000,897.000,16093.440000,0.000,343.123,19.446321,897,3.315877,2.378897
veh_000157,completed,968.950302,7.700077,969.000000,0.049698,7.000000,1863.000,894.000,16093.440000,0.000,339.894,22.021258,894,2.241684,2.113730
veh_000158,completed,975.082146,6.131844,976.000000,0.917854,7.000000,1865.000,889.000,16093.440000,0.000,335.023,23.519847,889,2.479839,1.870294
veh_000159,completed,982.131883,7.049737,983.000000,0.868117,7.000000,1868.000,885.000,16093.440000,0.000,330.511,19.699840,885,2.514826,1.889616
veh_000160,completed,990.042993,7.911110,991.000000,0.957007,8.000000,1870.000,879.000,16093.440000,0.000,324.820,19.177516,879,2.557369,1.884706
veh_000161,completed,996.956901,6.913908,997.000000,0.043099,6.000000,1872.000,875.000,16093.440000,0.000,321.022,21.958687,875,3.912097,2.189356
veh_000162,completed,1003.386675,6.429774,1004.000000,0.613325,7.000000,1875.000,871.000,16093.440000,0.000,316.692,22.041458,871,2.569730,2.222055
veh_000163,completed,1012.615868,9.229193,1013.000000,0.384132,9.000000,1877.000,864.000,16093.440000,0.000,309.581,25.944765,864,4.491176,1.502723
veh_000164,completed,1018.981423,6.365555,1019.000000,0.018577,6.000000,1879.000,860.000,16093.440000,0.000,305.407,25.255197,860,3.446605,1.496889
veh_000165,completed,1024.537476,5.556054,1025.000000,0.462524,6.000000,1882.000,857.000,16093.440000,0.000,302.934,20.845089,857,2.859071,1.794289
veh_000166,completed,1030.705427,6.167951,1031.000000,0.294573,6.000000,1884.000,853.000,16093.440000,0.000,298.633,23.623848,853,2.601377,1.482623
veh_000167,completed,1038.929580,8.224153,1039.000000,0.070420,8.000000,1886.000,847.000,16093.440000,0.000,293.084,21.346117,847,2.200421,2.293595
veh_000168,completed,1045.107649,6.178069,1046.000000,0.892351,7.000000,1888.000,842.000,16093.440000,0.000,287.835,25.408934,842,3.018394,1.272790
veh_000169,completed,1051.886715,6.779066,1052.000000,0.113285,6.000000,1891.000,839.000,16093.440000,0.000,285.140,22.066255,839,2.515476,2.101999
veh_000170,completed,1059.680312,7.793597,1060.000000,0.319688,8.000000,1893.000,833.000,16093.440000,0.000,278.763,22.014809,833,3.280694,1.155274
veh_000171,completed,1064.911024,5.230712,1065.000000,0.088976,5.000000,1895.000,830.000,16093.440000,0.000,275.879,19.678137,830,1.812716,1.838408
veh_000172,completed,1068.321170,3.410145,1069.000000,0.678830,4.000000,1897.000,828.000,16093.440000,0.000,274.106,22.251014,828,2.505661,1.715061
veh_000173,completed,1074.770304,6.449135,1075.000000,0.229696,6.000000,1899.000,824.000,16093.440000,0.000,269.798,24.928912,824,3.650214,1.531538
veh_000174,completed,1081.114907,6.344602,1082.000000,0.885093,7.000000,1902.000,820.000,16093.440000,0.000,265.478,20.527738,820,3.457377,2.150613
